,user_id,created_time,object_type,url,page_type
251,1,Fri Jun  8 23:24:47 2018,NaN,group-news/1813,group news
252,1,Fri Jun  8 23:24:47 2018,NaN,main-home,main home
253,1,Fri Jun  8 23:35:05 2018,NaN,group-home/1813,group home
254,1,Fri Jun  8 23:35:06 2018,2.0,group-home/1813,group page
255,1,Fri Jun  8 23:54:46 2018,NaN,main-home,main home
256,1,Sun Jun 10 20:42:17 2018,NaN,main-home,main home
257,1,Mon Jun 11 05:07:14 2018,NaN,main-home,main home
258,1,Mon Jun 11 05:07:41 2018,3.0,discussions-about/29788/0/,discussion page
259,1,Mon Jun 11 05:07:41 2018,2.0,discussions-about/29788/0/,group page
260,1,Mon Jun 11 05:07:49 2018,NaN,group-news/1813,group news
261,1,Mon Jun 11 19:28:12 2018,NaN,notification,notification
262,1,Mon Jun 11 19:28:14 2018,NaN,content-notification,content_notif
263,1,Mon Jun 11 19:28:24 2018,5.0,event-detail/5382,event page
264,1,Mon Jun 11 19:28:24 2018,2.0,event-detail/5382,group page
265,1,Mon Jun 11 19:28:30 2018,NaN,main-home,main home
266,1,Mon Jun 11 19:28:53 2018,NaN,group-home/22,group home
267,1,Mon Jun 11 19:28:55 2018,2.0,group-home/22,group page
268,1,Mon Jun 11 19:28:56 2018,NaN,group-events/22,events
269,1,Mon Jun 11 19:29:01 2018,NaN,event-entry/,event entry
270,1,Mon Jun 11 19:29:56 2018,5.0,event-detail/5383,event page
271,1,Mon Jun 11 19:29:56 2018,2.0,event-detail/5383,group page
272,1,Mon Jun 11 19:30:03 2018,NaN,group-events/22,events
273,1,Mon Jun 11 19:30:04 2018,NaN,event-entry/,event entry
274,1,Mon Jun 11 19:32:05 2018,5.0,event-detail/5384,event page
275,1,Mon Jun 11 19:32:06 2018,2.0,event-detail/5384,group page
276,1,Mon Jun 11 19:32:08 2018,NaN,group-events/22,events
277,1,Mon Jun 11 19:32:18 2018,5.0,event-detail/5383/,event page
278,1,Mon Jun 11 19:32:19 2018,2.0,event-detail/5383/,group page
279,1,Mon Jun 11 19:32:25 2018,NaN,event-entry/5383,event entry
280,1,Mon Jun 11 19:32:34 2018,5.0,event-detail/5383,event page
281,1,Mon Jun 11 19:32:34 2018,2.0,event-detail/5383,group page
